Disease,Category
Fungal infection,Skin specialist
Allergy,Immunologist
GERD,Gastroenterologist
Chronic cholestasis,Gastroenterologist
Drug Reaction,Allergist Immunologist
Peptic ulcer diseae,Gastroenterologist
AIDS,Infectious disease specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic
Paralysis,Neurologist
Jaundice,Gastroenterologist
Malaria,Infectious disease specialist
Chicken pox,Skin specialist
Dengue,Medicine Specialist
Typhoid,Medicine Specialist
Hepatitis A,Gastroenterologist
Hepatitis B,Gastroenterologist
Hepatitis C,Gastroenterologist
Hepatitis D,Gastroenterologist
Hepatitis E,Gastroenterologist
Alcoholic hepatitis,Gastroenterologist
Tuberculosis,Pulmonologist
Common Cold,Medicine Specialist
Pneumonia,Pulmonologist
Dimorphic hemmorhoids,Gastroenterologist
Heart attack,Cardiologist
Varicose veins,Vascular specialist
Hypothyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Orthopedic
Arthritis,Rheumatologist
(vertigo) Paroymsal  Positional Vertigo,ENT Specialist
Acne,Skin specialist
Urinary tract infection,Urologist
Psoriasis,Skin specialist
Impetigo,Skin specialist
